innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
1.0653,0.2966,1.2977,0.6094,0.3348,1344.0000,75,Bank of Queensland Limited,2014
0.8823,0.7587,0.5355,0.5228,0.2901,2753.0000,76,Bank of Queensland Limited,2015
1.1425,1.4185,0.6169,0.6170,0.3543,2323.0000,77,Bank of Queensland Limited,2016
1.0483,0.6811,0.7256,0.2860,0.4373,1876.0000,78,Bank of Queensland Limited,2010
3.7206,0.7988,0.9843,0.7700,2.3263,1618.0000,79,Bank of Queensland Limited,2013
0.7629,0.7812,0.4282,0.3198,0.7336,2719.0000,80,Bendigo and Adelaide Bank Limited,2012
0.6798,0.7161,0.3081,0.2128,0.3265,2421.0000,81,Bendigo and Adelaide Bank Limited,2013
0.5924,0.4555,0.2544,0.1622,0.7342,2894.0000,82,Bendigo and Adelaide Bank Limited,2014
0.6379,0.1610,0.0718,0.0620,0.3513,2067.0000,83,Bendigo and Adelaide Bank Limited,2015
0.6097,0.7953,0.8160,0.5624,0.4163,2819.0000,84,Bendigo and Adelaide Bank Limited,2016
0.7538,0.2366,0.1889,0.3969,0.3199,2088.0000,85,Bendigo and Adelaide Bank Limited,2017
0.6840,0.3508,0.3742,0.2676,0.3172,2065.0000,86,Bendigo and Adelaide Bank Limited,2018
0.7203,0.4394,0.9599,1.1285,0.2842,1965.0000,87,Bendigo and Adelaide Bank Limited,2019
0.9553,0.0480,0.4456,0.0605,0.6575,2232.0000,88,Bendigo and Adelaide Bank Limited,2020
0.8161,0.5664,0.5981,0.6776,0.4636,2237.0000,89,Bendigo and Adelaide Bank Limited,2012
0.7717,0.5262,0.6582,0.6155,0.5867,2752.0000,90,Bendigo and Adelaide Bank Limited,2013
0.5295,0.4738,0.2355,0.0144,0.2910,2320.0000,91,Bendigo and Adelaide Bank Limited,2014
0.8881,0.4545,1.4179,0.1198,0.6645,1594.0000,92,Bendigo and Adelaide Bank Limited,2015
0.4169,0.8516,0.1034,0.2430,0.1075,2259.0000,93,Bendigo and Adelaide Bank Limited,2016
0.7551,0.1870,0.3929,0.1100,0.5378,2500.0000,94,Bendigo and Adelaide Bank Limited,2017
0.7405,0.6465,0.7836,0.1425,0.3829,2510.0000,95,Bendigo and Adelaide Bank Limited,2018
1.0540,0.2471,0.2828,0.1976,0.5460,1806.0000,96,Bendigo and Adelaide Bank Limited,2019
0.9099,0.1418,0.3394,0.1765,0.2685,2659.0000,97,Bendigo and Adelaide Bank Limited,2020
1.0952,0.0000,0.9709,0.3789,0.4867,1932.0000,98,Bendigo and Adelaide Bank Limited,2021
0.4259,0.4288,0.1010,0.5435,0.3287,2263.0000,99,Bendigo and Adelaide Bank Limited,2011
0.2077,0.4307,0.3474,0.3025,0.3733,3083.0000,100,Bendigo and Adelaide Bank Limited,2011
2.8458,0.7881,0.3598,0.7683,0.0000,554.0000,101,Commonwealth Bank of Australia,2018
1.4919,2.6854,0.8057,2.4133,1.2049,6016.0000,102,Commonwealth Bank of Australia,2013
0.6180,0.1685,0.9085,0.4977,0.1414,2945.0000,103,Commonwealth Bank of Australia,2011
1.1095,0.5891,0.8098,0.2260,0.7144,2951.0000,104,Commonwealth Bank of Australia,2012
1.0223,0.2969,0.4493,0.2444,0.5996,2632.0000,105,Commonwealth Bank of Australia,2013
2.1033,0.6530,0.3587,0.5876,0.1319,2041.0000,106,Commonwealth Bank of Australia,2014
1.1798,0.8843,0.3836,0.3802,0.1687,2821.0000,107,Commonwealth Bank of Australia,2015
0.5455,1.0574,0.8591,1.0045,0.7300,2815.0000,108,Commonwealth Bank of Australia,2016
0.3225,1.4679,0.5860,0.7987,0.4873,2413.0000,109,Commonwealth Bank of Australia,2017
1.1471,0.2178,0.5676,0.2074,0.4736,2119.0000,110,Commonwealth Bank of Australia,2018
0.9585,0.4766,0.7970,0.6210,0.2697,2252.0000,111,Commonwealth Bank of Australia,2019
0.3674,0.7837,0.8930,0.4764,0.5117,2341.0000,112,Commonwealth Bank of Australia,2020
0.5088,0.1567,0.4071,0.1572,0.4722,2449.0000,113,Commonwealth Bank of Australia,2011
0.6449,1.0605,0.8049,0.2979,0.3506,2717.0000,114,Commonwealth Bank of Australia,2012
1.2184,1.3665,0.3644,0.7561,0.1650,3267.0000,115,Commonwealth Bank of Australia,2013
1.0622,0.5128,0.5080,0.4605,0.2214,2603.0000,116,Commonwealth Bank of Australia,2014
1.4989,0.7572,0.8079,0.0625,0.7739,2019.0000,117,Commonwealth Bank of Australia,2015
0.4033,0.5013,0.7131,0.4883,0.2461,2910.0000,118,Commonwealth Bank of Australia,2016
1.0116,0.4001,0.7288,0.5076,0.2816,2549.0000,119,Commonwealth Bank of Australia,2017
1.6620,1.7668,0.9929,0.2479,0.3415,2178.0000,120,Commonwealth Bank of Australia,2018
0.7756,0.5049,0.5881,0.4004,0.5871,2554.0000,121,Commonwealth Bank of Australia,2019
0.9709,0.3741,0.8671,0.3739,0.4016,2215.0000,122,Commonwealth Bank of Australia,2020
0.8706,0.2779,0.5775,0.1908,0.1314,1948.0000,123,Commonwealth Bank of Australia,2021
1.0480,0.0867,0.8019,0.8089,0.0000,1348.0000,124,Commonwealth Bank of Australia,2011
0.0587,0.1144,1.2447,0.1492,0.3737,2104.0000,125,Commonwealth Bank of Australia,2011
0.5107,0.5867,0.1565,0.2224,0.5106,2715.0000,126,Commonwealth Bank of Australia,2012
0.2700,0.7662,0.6217,0.3624,0.7083,1710.0000,127,Commonwealth Bank of Australia,2019
0.6086,0.1882,0.6909,0.7524,1.0638,2075.0000,128,Commonwealth Bank of Australia,2020
0.8291,0.4737,0.7002,0.2527,0.5145,2436.0000,129,Contact Energy Ltd,2011
1.1083,0.0000,0.1168,0.1017,0.1172,866.0000,130,Fisher Paykel Healthcare Corporation Limited,2011
1.2866,0.3655,1.2804,0.3245,0.3007,1107.0000,131,Fisher Paykel Healthcare Corporation Limited,2012
0.7094,0.2448,0.6985,0.0909,0.0886,1145.0000,132,Fisher Paykel Healthcare Corporation Limited,2013
0.7774,0.1788,0.1388,0.3095,0.1591,1170.0000,133,Fisher Paykel Healthcare Corporation Limited,2014
0.5385,0.3052,1.3548,1.0985,0.3593,2026.0000,134,Fisher Paykel Healthcare Corporation Limited,2015
0.4656,0.2911,0.2665,0.1007,0.0000,1390.0000,135,Fisher Paykel Healthcare Corporation Limited,2011
1.4859,0.4369,0.5614,0.5126,0.7364,1148.0000,136,Fisher Paykel Healthcare Corporation Limited,2012
0.2456,0.0000,0.1441,0.2368,0.2923,765.0000,137,Fisher Paykel Healthcare Corporation Limited,2013
1.0756,0.0000,1.1644,0.6551,0.8234,1066.0000,138,Fisher Paykel Healthcare Corporation Limited,2014
0.8512,0.0000,1.2905,0.8609,0.1405,1208.0000,139,Fisher Paykel Healthcare Corporation Limited,2015
